time,cases,pop,dpopdt,nino,nina,beta_eff,magnitude
1973,144,3398211.9854694027,176017.90237568913,1.6966666666666663,0,0.7006291652310204,2
1973.0833333333333,112,3412863.9888540325,175630.2413099137,1.09,0,0.903030377991724,2
1973.1666666666667,90,3427483.702763432,175242.95496922176,0.2966666666666667,0,1.0246908708888796,0
1973.25,114,3442071.1577512533,174856.01911267496,0,-0.4266666666666666,1.0137815749539054,0
1973.3333333333333,112,3456626.381677829,174469.4094993319,0,-0.9099999999999998,0.9754548260964864,-1
1973.4166666666667,110,3471149.4017301328,174083.12612919154,0,-1.23,1.0620775543700016,-2
1973.5,185,3485640.2450950188,173697.16900225595,0,-1.45,1.0108750216229758,-2
1973.5833333333333,144,3500098.9392700964,173311.54930141976,0,-1.61,1.0143573726562611,-2
1973.6666666666667,163,3514525.5129955197,172926.27820957743,0,-1.7566666666666666,0.9092485555397876,-2
1973.75,122,3528919.9953219555,172541.35572673113,0,-2.0033333333333334,0.8651141818122052,-3
1973.8333333333333,165,3543282.4153001974,172156.78185287985,0,-2.203333333333333,0.6615280913858583,-3
1973.9166666666667,136,3557612.801981032,171772.55658802253,0,-2.24,0.5010752440060242,-3
1974,56,3571911.18443146,171388.68052000605,0,-2.0033333333333334,0.5882543896875085,-3
1974.0833333333333,19,3586177.5917839147,171005.15423667422,0,-1.7333333333333334,0.7084659914900289,-2
1974.1666666666667,16,3600412.05318716,170621.9777380261,0,-1.49,0.8838629602947614,-2
1974.25,17,3614614.59778984,170239.15102406358,0,-1.3666666666666665,0.9218020233931103,-2
1974.3333333333333,26,3628785.254740719,169856.67409478576,0,-1.2833333333333334,0.9508641770187064,-2
1974.4166666666667,43,3642924.052909198,169474.53689324344,0,-1.13,1.01397555955405,-2
1974.5,85,3657031.020047128,169092.72936249035,0,-0.8733333333333334,0.9414168570224144,-1
1974.5833333333333,98,3671106.18362711,168711.2515025256,0,-0.6866666666666666,0.9608286466686128,-1
1974.6666666666667,175,3685149.57112175,168330.103313348,0,-0.7000000000000001,0.9443732269111906,-1
1974.75,192,3699161.210003536,167949.2847949597,0,-0.89,0.8833462925398755,-1
1974.8333333333333,181,3713141.1284413906,167568.82101479676,0,-1,0.7218728475989005,-2
1974.9166666666667,141,3727089.357389506,167188.73704029512,0,-0.8366666666666668,0.699356886508975,-1
1975,75,3741005.928498277,166809.03287145693,0,-0.7000000000000001,0.6467915362997275,-1
1975.0833333333333,78,3754890.873418214,166429.7085082811,0,-0.7400000000000001,0.8529261275018095,-1
1975.1666666666667,60,3768744.2237998266,166050.76395076662,0,-0.91,0.9727320686815296,-1
1975.25,86,3782566.009527856,165672.13563529676,0,-1.0599999999999998,0.969784881092392,-2
1975.3333333333333,103,3796356.2534245295,165293.75999825174,0,-1.1966666666666663,0.9581894476343124,-2
1975.4166666666667,130,3810114.9765464216,164915.6370396305,0,-1.34,1.0196461952425049,-2
1975.5,258,3823842.199949992,164537.76675943512,0,-1.47,0.954957865513572,-2
1975.5833333333333,433,3837537.947991276,164160.26793825417,0,-1.5233333333333334,0.9528007447844042,-2
1975.6666666666667,386,3851202.2582241474,163783.25935667622,0,-1.67,0.9123736232850272,-2
1975.75,302,3864835.171501834,163406.74101470335,0,-1.7166666666666668,0.8710904876928179,-2
1975.8333333333333,267,3878436.7286776737,163030.71291233454,0,-1.8066666666666664,0.7634266439600832,-2
1975.9166666666667,210,3892006.970605002,162655.17504956873,0,-1.8666666666666665,0.5994822320242368,-2
1976,73,3905545.9309767513,162279.8696557535,0,-1.7333333333333332,0.5037709382865068,-2
1976.0833333333333,27,3919053.6148447776,161904.5389602334,0,-1.3633333333333333,0.7530593860068515,-2
1976.1666666666667,16,3932530.020100643,161529.18296300736,0,-1.0033333333333334,0.8934354769137508,-2
1976.25,23,3945975.1446358,161153.8016640774,0,-0.8300000000000001,0.9366362653986064,-1
1976.3333333333333,26,3959388.986341807,160778.3950634426,0,-0.6833333333333332,0.9474622732606606,-1
1976.4166666666667,50,3972771.531825314,160402.55690422736,0,-0.4266666666666667,1.0203771973541056,0
1976.5,80,3986122.722553205,160025.8809295593,0,-0.14,0.9351796866469432,0
1976.5833333333333,115,3999442.488707565,159648.36713943735,0.08666666666666667,0,0.9106088364424576,0
1976.6666666666667,212,4012730.7604704727,159270.01553386048,0.39,0,0.928590838664588,1
1976.75,216,4025987.468023902,158890.82611283075,0.5866666666666667,0,0.917276260177842,1
1976.8333333333333,244,4039212.5452546375,158510.93224562434,0.65,0,0.7483995008704558,1
1976.9166666666667,266,4052405.940868271,158130.46730151743,0.66,0,0.7768516862161915,1
1977,166,4065567.6072749887,157749.431280512,0.5466666666666667,0,0.7816326668148439,1
1977.0833333333333,99,4078697.496885085,157367.82418260712,0.4466666666666666,0,0.7543257399186734,1
1977.1666666666667,98,4091795.560247723,156985.57900709438,0.06000000000000002,0,0.8867999130478557,1
1977.25,90,4104861.7404674375,156602.6287532685,0,-0.13333333333333333,0.9575867807928848,1
1977.3333333333333,123,4117895.978787736,156218.97342112855,0,-0.19333333333333333,0.939658921795228,1
1977.4166666666667,236,4130898.216452128,155834.61301067338,0,-0.03666666666666666,0.984223304837496,1
1977.5,461,4143868.3947040183,155449.5475219051,0.03,0,0.9818779960671126,1
1977.5833333333333,516,4156806.4553927784,155063.79876596862,0.16,0,0.9784324522897156,1
1977.6666666666667,658,4169712.3427912463,154677.38855400876,0.34,0,0.9525891470947606,1
1977.75,794,4182586.0017780145,154290.31688602763,0.5033333333333333,0,0.95182201450724,1
1977.8333333333333,643,4195427.377231782,153902.58376202424,0.6033333333333333,0,0.8283704141494822,1
1977.9166666666667,327,4208236.41403125,153514.18918199744,0.6,0,0.7588275792115338,1
1978,186,4221013.057065213,153125.13351307943,0.5233333333333333,0,0.8304715310485652,1
1978.0833333333333,189,4233757.251263359,152735.41712239917,0.2233333333333333,0,0.8422173569212608,0
1978.1666666666667,136,4246468.941565577,152345.04000995564,0,-0.21666666666666665,1.0384565370856178,0
1978.25,64,4259148.072911647,151954.00217575094,0,-0.5466666666666666,0.9769176682768668,-1
1978.3333333333333,74,4271794.590241462,151562.30361978404,0,-0.7166666666666667,0.9410792341443353,-1
1978.4166666666667,87,4284408.437741424,151169.91721667434,0,-0.6666666666666666,1.0302488296623054,-1
1978.5,109,4296989.556583905,150776.81584104465,0,-0.6833333333333332,1.0062433543159983,-1
1978.5833333333333,146,4309537.887187894,150382.9994928938,0,-0.6833333333333332,1.0280395414519257,-1
1978.6666666666667,174,4322053.369972384,149988.4681722208,0,-0.6533333333333333,0.8923965003939067,-1
1978.75,170,4334535.946930062,149593.27853585777,0,-0.5166666666666666,0.8974620814362707,-1
1978.8333333333333,102,4346985.566348923,149197.48724063346,0,-0.30000000000000004,0.8582639055909281,0
1978.9166666666667,91,4359402.178090767,148801.09428654693,0,-0.19000000000000003,0.7359586921208596,0
1979,58,4371785.7320172815,148404.09967360029,0,-0.1366666666666667,0.825029949529945,0
1979.0833333333333,58,4384136.177990264,148006.5034017925,0,-0.12333333333333334,0.9071597069059107,0
