"sample","sigma","theta","phi","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.0363252078341587,2.51495921648148,7.30098455773765,0,0,3.88605030169568e-07,0.922057786086528,0.0166666666666667,27.3035085392957,137.013212778026,36.2819917877616,0.00125206186204635,0.0127726197160122,0.828051232356499,0.00319207553424608,0.00155012025208648,0.167206571857169,0.00138711411791654,0.00110735502647011,0.108613213639741,-3304.47673352464,4.57182633796592,1
2,0.0607288244535149,0.903564641027048,344.239331657484,0,0,5.3680259259652e-05,0.947156732986265,0.0166666666666667,33.1690681834864,726.011058581497,1.3307265133231,0.0205594704626519,0.00316062335103745,0.617364640041083,0.00729731013365867,0.00516163784014854,0.370176411985109,0.00561809276903785,0.00491137947726563,0.113185000484493,-3327.28939957048,0.732622652905627,1
3,0.0536608766642572,0.0732181246471605,558.069260773411,0,0,0.00118484689203604,0.969851549794481,0.0166666666666667,27.2936233756443,5981.95061114723,0.914336490288792,0.0113513807860688,0.00481067144094756,0.966713584173877,0.00949662361429375,0.00970851622873078,0.0140812759830989,0.00275737086612539,0.0065989649760771,0.139966699730694,-3320.89953727414,2.60854176591697,1
4,0.0654343458696292,4.62611494697016,28.6619134851244,0,0,0.000778679383333334,0.947155139502256,0.0166666666666667,687.317895407526,52.5631256819654,0.316364391770734,0.02631530118938,0.00490764488788983,0.785163832124633,0.00192926603141888,0.00234745667485568,0.210559445169092,0.00796012745238223,0.00214917709312485,0.117389512951249,-3575.11512967273,3.5308227792011,1
5,0.0578432799739539,4.19595048168158,121.119871772452,0,0,7.07533430599697e-05,0.899755583474146,0.0166666666666667,51.3410560768974,250.636866352332,0.197929939216597,0.0218838726623065,0.0103799461802026,0.690830342054927,0.0072976500248728,0.000387250278838074,0.301484757641363,0.0046564213442678,0.00466930642874029,0.144672606947843,-3380.46187989908,2.43084412074211,1
6,0.0578938033980889,3.93116342344445,63.380436384319,0,0,2.19130588652739e-05,0.966035584993568,0.0166666666666667,1044.45278074582,272.104959185356,2.44404825690455,0.0439129438912667,0.0024456144569671,0.824581595269856,0.00672362861282271,0.00756359831137738,0.161131177805944,0.0100235870273732,0.0101467782388814,0.127832583581578,-3314.91123533771,0.697597938718884,1
7,0.000227164633044683,3.01017327165716,39.3330781005547,0,0,0.000513450477000934,0.990617808432809,0.0166666666666667,31.042674767991,166.194705862542,2.11196496520379,0.00556365848269963,0.0032810967151206,0.848769027374463,0.0105132740979661,0.00602994384476747,0.134687754682803,0.00801376763561986,0.00562582590623095,0.433548882276884,-6652.26506536704,13.0504011350109,1
8,1.67206095714436e-05,4.59045031762227,45.7708686861948,0,0,0.00104974852872885,0.967337623947029,0.0166666666666667,47.1183090182282,234.66353176658,2.01498933228711,0.0176773954362224,0.00316027182307089,0.586448939716527,0.00515936147192509,0.000646143928554374,0.407745554882993,0.00425749895935028,0.0100810858918975,0.492847814309493,-4516.00276026414,0.506669791036792,1
9,0.0831951457676864,0.16492259180559,142.586054058988,0,0,5.70826319171205e-05,0.911464142491936,0.0166666666666667,20.2090700835394,81.3992311634186,898.243429473824,0.0058668761009824,0.00643913759740128,0.735822729933539,0.00738768741056895,0.00307098724144072,0.253718595414451,0.00640875571540288,0.00753541069498607,0.0892034842061629,-3317.51309063399,4.85572213921706,1
10,0.0538218500070835,4.72232548177651,31.9514840151485,0,0,0.000711547352357085,1.03610320831893,0.0166666666666667,64.8266748846135,264.318452685086,1.40322974817203,0.0333190768413014,0.0028323499306396,0.951840490341048,0.00290213427873438,0.00842198649832918,0.0368353888818882,0.00207531954413101,0.0029629486818835,0.030466503395291,-3503.09298230762,14.7331505725906,1
1,0.0907446295586647,3.93435729977843,250.962784716465,0,0,0.00262041157026102,0.932485102799651,0.0166666666666667,21.7698508736855,1161.85105369831,0.112992127399418,0.0094317361432268,0.0102052900412728,0.65348214021703,0.00300743187712334,0.00567991328677032,0.337830514619077,0.00826520284902531,0.0020402840551171,0.103723420665221,-3427.61136591098,4.79592506755975,1
2,0.0904786773316342,0.265852335739071,649.265401561125,0,0,5.81548598934707e-05,0.840538145903751,0.0166666666666667,40.9879945116774,240.796052942866,0.495145609223594,0.0283064455314753,0.00881275333192028,0.717963245556413,0.00926241876400056,0.00206381147389395,0.270710524205693,0.00296439970994278,0.00649289293555889,0.150151855754116,-3341.0703301408,0.792450279440883,1
