"sample","sigma","kappa","W_max","n1","n2","K_a","K_b","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","W_0","sig_obs","loglik","loglik.se","flag"
1,0.210475852108442,3.9e-05,12.8886119189167,6.4944433679066,219.620430593135,0.038443424449772,0.99462625280473,4.4442496021868,0,0.474251266862763,0.103680929767277,1.03682924449036,0.0166666666666667,8.35755086998377,49.7489480235799,11.5706063895837,0.00416360188102569,0.000269460446346437,0.804758893671865,0.0133144401953213,0.0156756821528939,0.166250983979919,0.00160774659303552,0.00996502157983375,0.0189633821781754,0.136148310168223,-2919.63880154687,2.32700142903939,1
2,0.274151349045061,3.9e-05,5.05962989424213,0.0619255327445273,0.0228201087965142,0.172037476155993,0.510826017097099,-0.208516624462099,0,0.565427990516111,0.000409972109764256,0.604434728744839,0.0166666666666667,5.83810602847038,782.172885719246,6.65656288839726,0.000684279808892892,0.00191295516282171,0.669263244527613,0.00281389054632414,0.00369562062268409,0.324227244303379,0.00543620478532471,0.00568517148189441,0.0429955876669096,0.186047255891447,-2923.29010002684,0.496934953252232,1
3,0.315316893885465,3.9e-05,3.62441154236856,5.20298526842346,3.07372612232139,0.0453639676367648,0.909324680958356,0.722979771230493,0,0.943732394482173,0.014031624843813,0.519741964074823,0.0166666666666667,42.4858831076352,36.1908435076154,1.18635819195251,0.205336476107564,0.00407428647786959,0.78548405475769,0.00480755731244176,0.00130739483717059,0.208400993092698,0.00836398967080615,0.00765646432025645,0.00875585627678166,0.210010303883732,-2877.32943533133,1.96095459369771,1
4,0.000809786015916902,3.9e-05,151.093202460968,1.00903028458405,0.769388002291642,0.237456095680754,0.989390296387056,-0.596603161257929,0,0.246625248419825,0.00020372104907276,0.574875794326733,0.0166666666666667,14.2547462962061,83.2125405083333,5.33426068631299,0.00270790644624594,0.157920418490781,0.575539612306374,0.00061081304741964,0.00629967807610571,0.417549896570101,0.00365131811565558,0.00325465514840234,0.0331519710505225,0.64287473435004,-3149.1730293293,0.0950523019106666,1
5,0.174776330272816,3.9e-05,15.3297987630661,1.54386250913182,7.01442477112937,0.0220103274147176,0.989673519283082,3.76672789098514,0,0.385822324431239,0.000585632782410949,0.893720617699555,0.0166666666666667,6.41926007672313,1306.7048880323,0.818959511796948,0.00202833449167134,0.00568757931582482,0.608052510323651,0.00822770674477417,0.00916548957739162,0.374554293354183,0.007499440094308,0.00338730784697795,0.0117972398265275,0.277917213693482,-2966.16595257835,0.747724358078022,1
6,0.00215125397287291,3.9e-05,28.0038780334037,145.902903464819,2.8485620618022,0.0377745388708971,0.999822596336886,2.55170230200787,0,0.255483050564663,0.00126575534393808,0.628908327364503,0.0166666666666667,5.34630805161719,869.568664082478,431.769067897801,0.00632914734370826,0.0175355224736979,0.868861062344055,0.00318101003954366,0.00446382770224567,0.123494099914155,0.00345672247241263,0.00889542902235511,0.036159408422689,0.680463759952299,-3179.29998621112,0.00513574354432822,1
7,0.000109059152844907,3.9e-05,186.363148222441,0.223519954399479,0.0536801061300994,0.636567646818839,0.669527554673171,5.77558221972638,0,0.214187459242345,0.00916850968949871,1.02080653521785,0.0166666666666667,18.1261564260592,222.391443296383,106.537812265382,0.00263315976532858,0.00285012182270334,0.73126819684511,0.00559441297038262,0.00208482914920886,0.261052561035298,0.00567759345613311,0.00148577343376154,0.0257760680390329,0.584891132857781,-3183.4363011518,0.0194745839195491,1
8,0.360583794854058,3.9e-05,11.7282137140806,1.82921300622074,2.14383622420983,0.786631595131161,0.951811631714926,0.260400826156619,0,-0.121989565415137,0.0105748475160348,0.290663199565281,0.0166666666666667,55.1612851300485,87.6156067101383,0.0558811113945853,0.210925567834463,0.00653301206361832,0.965680052470441,0.00188407817626253,0.011725116400026,0.0207107529532702,0.00992789008586671,0.00579030690150859,0.0471545135859302,0.180780487425332,-2887.59744288567,2.72566518688895,1
9,0.000133531785932291,3.9e-05,107.292346578893,2.93675389100832,0.560531279070576,0.308346193934019,0.987595634220301,0.591061798923374,0,0.234745605782953,0.000311964245193075,0.760877558667276,0.0166666666666667,30.7480172679316,19.852084478929,13.4837144453403,0.00271055671552876,0.106070796557387,0.725412701001708,0.000141854851443386,0.00146211281147852,0.27298333133537,0.00186684886577892,0.00673148564652524,0.0058977404378826,0.608330498049718,-3180.68168420909,0.121037491498977,1
10,0.27188375990066,3.9e-05,3.10357677828502,0.2487520275735,6.58578196959956,0.592049272830277,0.92600630290643,-1.71610891301997,0,0.822299645583915,0.00270373820911198,0.482280894871829,0.0166666666666667,7.46073553728527,17.974181286025,294.294644212216,0.000531665881409523,0.000187396014092925,0.643868770452999,0.00400503619893866,0.00449999814103132,0.347626195207031,0.00644589728716502,0.00229185397377599,0.0325040169409031,0.173529383669064,-2925.29675940004,0.368152392395406,1
