time,T,RH,P,date,ndays,pop,dpopdt,beta_eff,cases,year,month,nino,nina
1981,25.625,67.15503691621893,0,1981-01-01,31,45740427.904890634,5367.63837133348,0.5713975505441649,164,1981,1,0,-0.31666666666666665
1981.0027397260271,26.125,68.02856259361695,0,1981-01-02,31,45743102.96621913,2675.0613284930587,0.6961887770649788,NA,1981,1,0,-0.31666666666666665
1981.0054794520547,24.875,69.90416562248546,0,1981-01-03,31,45745778.18399463,2675.217775501311,0.6398874436017258,NA,1981,1,0,-0.31666666666666665
1981.0082191780823,25.875,70.73253994772617,0,1981-01-04,31,45748453.55822629,2675.374231658876,0.6490726883178449,NA,1981,1,0,-0.31666666666666665
1981.0109589041097,26.125,70.6877145901253,0,1981-01-05,31,45751129.08892325,2675.530696965754,0.6666556371254602,NA,1981,1,0,-0.31666666666666665
1981.013698630137,26.5625,73.52304896572579,0,1981-01-06,31,45753804.77609468,2675.6871714293957,0.6780228012358931,NA,1981,1,0,-0.31666666666666665
1981.0164383561644,26.875,73.36933299199814,0,1981-01-07,31,45756480.619749725,2675.8436550423503,0.533853652065517,NA,1981,1,0,-0.31666666666666665
1981.0191780821915,26.75,75.9211240264668,0,1981-01-08,31,45759156.619897515,2676.0001477897167,0.6835743837616186,NA,1981,1,0,-0.31666666666666665
1981.021917808219,26.75,64.08559403411809,0,1981-01-09,31,45761832.77654722,2676.156649708748,0.7800827527367983,NA,1981,1,0,-0.31666666666666665
1981.024657534247,26.625,57.12020959326689,0,1981-01-10,31,45764509.089708,2676.313160777092,0.6019734382954379,NA,1981,1,0,-0.31666666666666665
1981.027397260274,25.142857142857142,57.82459401859883,0,1981-01-11,31,45767185.559389,2676.4696810021996,0.6300836105844291,NA,1981,1,0,-0.31666666666666665
1981.0301369863016,22,58.955484886123955,0,1981-01-12,31,45769862.18559937,2676.6262103691697,0.28342695084933445,NA,1981,1,0,-0.31666666666666665
1981.0328767123287,21.625,54.7361882925546,0,1981-01-13,31,45772538.96834828,2676.7827489078045,0.2941444896445729,NA,1981,1,0,-0.31666666666666665
1981.035616438356,21.857142857142858,62.742761689758666,0,1981-01-14,31,45775215.90764486,2676.939296580851,0.32224998753398565,NA,1981,1,0,-0.31666666666666665
1981.0383561643837,23,62.26803030943937,0,1981-01-15,31,45777893.00349828,2677.095853418112,0.5052727036175458,NA,1981,1,0,-0.31666666666666665
1981.041095890411,23.875,57.58812417934983,0,1981-01-16,31,45780570.255917706,2677.2524194270372,0.5229861378009893,NA,1981,1,0,-0.31666666666666665
1981.0438356164384,23.5,62.306941096989384,0,1981-01-17,31,45783247.66491227,2677.408994562924,0.49331750942024527,NA,1981,1,0,-0.31666666666666665
1981.0465753424655,22.428571428571427,65.19166897235701,0,1981-01-18,31,45785925.23049115,2677.565578877926,0.41356789882324563,NA,1981,1,0,-0.31666666666666665
1981.0493150684931,23.5,64.97544016331894,0,1981-01-19,31,45788602.95266348,2677.7221723347902,0.5065710003000361,NA,1981,1,0,-0.31666666666666665
1981.0520547945205,24.142857142857142,70.39872520946504,0,1981-01-20,31,45791280.83143845,2677.87877497077,0.581395840694615,NA,1981,1,0,-0.31666666666666665
1981.054794520548,26.125,67.12522990048785,0,1981-01-21,31,45793958.8668252,2678.035386748612,0.6757527957381193,NA,1981,1,0,-0.31666666666666665
1981.0575342465752,26.571428571428573,74.40324135420896,0.184552401304245,1981-01-22,31,45796637.0588329,2678.1920076981187,0.6985304793143694,NA,1981,1,0,-0.31666666666666665
1981.0602739726028,26.75,77.07704922469603,0.0174890048801898,1981-01-23,31,45799315.40747069,2678.348637789488,0.7303389747058961,NA,1981,1,0,-0.31666666666666665
1981.06301369863,26.875,77.21632939832726,0,1981-01-24,31,45801993.91274773,2678.505277045071,0.6571204797205069,NA,1981,1,0,-0.31666666666666665
1981.0657534246575,26.5,77.31513036454437,0,1981-01-25,31,45804672.57467321,2678.6619254797697,0.7398063665917316,NA,1981,1,0,-0.31666666666666665
1981.0684931506848,27,58.98252290535043,0,1981-01-26,31,45807351.39325628,2678.8185830637813,0.7520217390203207,NA,1981,1,0,-0.31666666666666665
1981.0712328767124,27.5,59.07209336674765,0,1981-01-27,31,45810030.36850608,2678.9752498045564,0.7960607509834472,NA,1981,1,0,-0.31666666666666665
1981.07397260274,28,64.5820833130175,0.2678568959236145,1981-01-28,31,45812709.5004318,2679.131925716996,0.7641472544370715,NA,1981,1,0,-0.31666666666666665
1981.0767123287671,28.375,70.53770429708531,0.9048821330070496,1981-01-29,31,45815388.78904259,2679.28861079365,0.7729720507319434,NA,1981,1,0,-0.31666666666666665
1981.0794520547945,28.625,73.55018031788408,0.9446493983268738,1981-01-30,31,45818068.23434761,2679.445305019617,0.8681763008118051,NA,1981,1,0,-0.31666666666666665
1981.082191780822,29,75.76016081742165,1.1103636026382446,1981-01-31,31,45820747.83635603,2679.6020084172487,0.788971875960769,NA,1981,1,0,-0.31666666666666665
1981.0849315068492,26.142857142857142,86.59641610109286,2.85115647315979,1981-02-01,28,45823427.59507701,2679.7587209790945,0.7095672138711734,100,1981,2,0,-0.5466666666666667
1981.0876712328768,27,83.06480672012607,0.8629477024078369,1981-02-02,28,45826107.51051973,2679.9154427200556,0.8490064575293371,NA,1981,2,0,-0.5466666666666667
1981.090410958904,28.625,76.69607467219923,0.0136775113642215,1981-02-03,28,45828787.58269333,2680.072173602879,0.9461343621429269,NA,1981,2,0,-0.5466666666666667
