"sample","sigma","theta","phi","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.000422144566936345,3.5591170696209,61.7030038186674,0,-0.00330754781528715,0.000536215923302699,0.992760588790825,0.0166666666666667,4253.94909046994,192.644324595069,0.398425874369466,0.0391933016119941,0.00391350885280016,0.854005502232938,0.00457917148368502,0.00555043185570995,0.135864894427667,0.00272120126828099,0.00237078252900883,0.442715847855993,-4419.03814281545,3.54125234869551,1
2,0.0593063175679198,6.50943017691539,122.998548724506,0,0.42847175985475,9.37712350095998e-06,0.901021725648497,0.0166666666666667,185.086483631962,582.709601423576,0.937825224967852,0.035810031782815,0.00340865308546123,0.634605389718079,0.00832540664739449,8.54596350952791e-05,0.356983743999432,0.00750130313827892,0.00666322097997012,0.130998181875911,-3401.15002421648,1.38608515330133,1
3,0.0957695988336736,4.77991950905831,25.3459750044924,0,0.481270939814566,0.000318931107635678,0.851613816059818,0.0166666666666667,17.9024430893065,91.7354515862765,714.205818538737,0.00339885137412603,0.0119301345590716,0.495928615288577,0.00138767751718992,0.00284941322025063,0.499834293973982,0.00500451899053248,0.00914822625174551,0.0264939317481852,-3355.19498929322,1.48161549623828,1
4,0.000136772008581232,4.47903054320859,14.4486142838623,0,0.0600604271881367,5.36894786946217e-07,1.03587400515474,0.0166666666666667,29.5160244630363,282.583999132962,2.20357038274187,0.00263353563735959,0.00239444090837805,0.749900816821985,0.00502493474730367,0.00722025044416153,0.23785399798655,0.00804208985806041,0.0044381878631022,0.272485577645441,-22758.07625856,0.262982720521981,1
5,0.000925165929814655,0.949837807697512,79.6974165727085,0,-0.00376025011499396,4.26870578385911e-05,1.00335580816107,0.0166666666666667,610.710247146034,143.331832077674,0.886086950373745,0.0397865271376071,0.00248954868370458,0.724563833872218,0.00576839489907339,0.00526046694083145,0.264407304287877,0.00361034278730995,0.00322809039072898,0.418899684406443,-4346.22866231726,0.693076412411346,1
6,0.0893416020310626,3.79780333425626,15.1084959983003,0,-0.825747051280157,0.000101345176633952,0.952570927343779,0.0166666666666667,26.8698633516207,42.3027006480527,2.03550627180853,0.00876787177350234,0.00789386981708369,0.901696543007878,0.00373473177573679,0.00200960682152657,0.0925591183948591,0.00768418068331153,0.00786270592733296,0.0360604709396926,-3323.36379727949,0.825725441004535,1
7,0.0296795856394021,1.31084421193153,74.8101355629459,0,0.08886374291229,0.00121583318451673,0.98394491908385,0.0166666666666667,25.5244296960496,4753.72118030562,0.807834319205338,0.00201168964070273,0.00377752918523696,0.784858331384792,0.00570768134492674,0.00438493344462743,0.205049053825654,0.00119674785468473,0.0059303655298809,0.129168677629554,-3432.47046693607,1.20343714261314,1
8,0.159184532707695,3.46179255209846,237.153564451234,0,0.0798981931359379,0.000194548962961056,0.796160360048164,0.0166666666666667,384.276195222783,77.1225327635504,0.790742831409513,0.078475672015625,0.00267094014468587,0.709479563341411,4.52818154006223e-05,0.00581179257996465,0.284663362263224,0.00627315110853864,0.00125636191056228,0.0626379527211605,-3390.74872363833,0.563417310969801,1
9,0.100522514083218,1.44601859860367,288.83997462533,0,0.533264135696926,1.83747943325232e-06,0.732885546243366,0.0166666666666667,26.0891557218224,64.5250847149937,0.181472478893615,0.0048572264310494,0.0134349303129055,0.948241135622719,0.00459417627449069,0.00267625496038111,0.0444884331424097,0.00286210158683528,0.00300744441558482,0.0218559601566427,-3462.55107556331,2.0402473613459,1
10,0.00104230459137595,6.88487699730366,2.45961546234712,0,-0.376061362357177,0.00023005596587037,1.00942591568815,0.0166666666666667,31.9018188299241,223.605416528989,0.541817614179743,0.00109796746577142,0.00364064431721151,0.777069669886809,0.00625637863377199,0.00549321414315352,0.211180737336265,0.00668957797588781,0.00749032751156768,0.390127738240922,-4179.8016730784,1.6846436874269,1
