"sample","sigma","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.00312864128617504,5.51671236401858,-0.03194319365998,0.0330218269301034,8.06749825055475e-05,0.978942699671745,0.0166666666666667,884.245909302272,462.275011890234,0.667522990155691,0.041099122333509,0.00777875209234506,0.657077123994287,0.00926971161481693,0.00502705625334971,0.328626108137547,0.003613708040407,0.00246605538640149,0.479588840387104,-4831.49948657799,12.4682548003693,1
2,0.00115047698366748,2.01606085798003,-0.0430234946491234,0.0311997044987233,8.13931634861179e-05,1.02359619453992,0.0166666666666667,38.64723744611,162.107948211991,2.42413406326441,0.000828951898828877,0.00518328239046036,0.980224170726113,0.00366634336395156,0.010299591039242,0.00580989487069387,0.00797862372087618,0.00748433982106475,0.363790215658214,-7562.844504445,2.07072559617898,1
3,0.0447307790333696,3.49980614303821,-0.0370180818016934,0.0477684701613888,5.31020555402291e-06,0.909740878240945,0.0166666666666667,27.5154085259387,176.296170545972,8.12220687644625,0.00255569086969024,0.00705781196915283,0.834152970593107,0.000917552047775641,0.00183749320456955,0.163091984154548,0.00946401175436388,0.00510353180053259,0.0646814616104885,-3326.74116059529,0.801043781081974,1
4,0.000774297356990636,5.69906552999132,-0.00790805904736811,-0.000603888415596267,0.00135298262650794,1.02022797064186,0.0166666666666667,35.997714893725,276.860498036754,0.418744949766054,0.011449265390597,0.00602674688599554,0.693979923915383,0.00459741985136078,0.00498870225960208,0.296433953973655,0.00584678811726173,0.00951307519411078,0.414784216727808,-4638.82802971668,6.14627419158051,1
5,0.0846212123764481,3.38130280716374,-0.00476139786681681,0.00669163753831452,0.000218288023766988,1.03935639932573,0.0166666666666667,54.2101666642922,22.665982596713,114.521701368193,0.00814851910494833,0.278794555985244,0.624641334159459,0.00657820470727379,0.00759959772970346,0.361180863403564,0.00706590607129358,0.00344358661795133,0.0442022598039941,-3562.47843095423,26.1655799459635,1
6,0.240972540059203,3.23041436305377,-0.199887026771157,0.757866164409498,0.000265901796655399,0.518058439369087,0.0166666666666667,14.6076374436182,1882.24424636912,67.9515599577102,0.0519458298530093,0.000515135024391017,0.919371768888577,0.00209480783792084,0.00287442989909379,0.0756589933744084,0.00212789523290946,0.00765967942498736,0.110330366015509,-3388.97580148531,3.18816734078404,1
7,0.042020907366063,0.0786612760462707,0.0891115915275653,0.0705039504323094,2.10125017205532e-06,0.95792809382616,0.0166666666666667,25.5604166159108,71.5353085271286,0.144047331583267,0.000444455368582439,0.0126151311515855,0.791597192247282,0.00483562955484588,0.00520196263115457,0.198365215566717,0.00424699314433518,0.00158149436234571,0.0324536635957694,-3539.18731397436,9.74180667669434,1
8,0.0346354628928773,3.77961702948357,-0.00700130490006011,0.0359284446131608,1.00668828059777e-05,0.971009562374556,0.0166666666666667,29.7903292773398,1324.37401275748,1.42729999775648,0.00128494174004269,0.00363437805051091,0.69527352532348,0.00665195833959337,4.65247572032196e-05,0.298027991579724,0.00885665452510472,0.00594308841420484,0.0728549676428967,-3326.38160750562,3.81941575508658,1
9,5.8769242046061e-05,6.11377331005194,-0.0189437094635391,0.0095200288960455,6.54697105394384e-05,0.998427466890783,0.0166666666666667,46.0410850331691,2098.86809607098,0.591113917762281,0.0208698371635138,0.00497135457659026,0.880981035367425,0.00448194869752255,0.00343393747997404,0.111103078455078,0.00167980815542017,0.00289303975874111,0.41979636078699,-4830.23575159069,6.03663542101304,1
10,0.0498499419436548,4.48195048917064,0.01710980668241,0.0372184408889276,0.0121830359854482,1.04164436752323,0.0166666666666667,39.1465164111764,95.2177960909512,5.78854943229259,0.00386745458715576,0.00186547291870634,0.610096693858913,0.00859992653181003,0.00868926607874396,0.372614113530533,0.00542891056876421,0.0078350972878735,0.0359577308126026,-3331.07633466706,8.24670334950777,1
1,0.0001017497417981,4.84069482736542,-0.0112830722757198,-0.0104366506986589,0.00092493263416834,1.03028852658177,0.0166666666666667,28.273648208825,351.639430603685,0.280390749940014,0.00215520863753304,0.00814774829495771,0.895023724719045,0.00912095398398932,0.00439712573917494,0.0914581955577912,0.00486554715554767,0.00163342996723687,0.365830798906265,-4911.16912936927,5.04884647501435,1
