"sample","sigma","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.010860123654129,3.08344890534099,0,0.0542463169199156,0.00355911523927483,1.02405002278826,0.0166666666666667,285.424468130158,37.3729696643059,8.52880465633312,0.00248568415113522,0.00144206968244301,0.673782403299969,0.00992920038355089,0.00487910846415736,0.311409287852323,0.00356820540706017,0.00259708643727014,0.141101808926671,-3411.71772791986,0.973095286267561,1
2,0.000100921027422802,3.23658666564454,0,-0.0168862292558385,0.000124032213687933,1.04423965408622,0.0166666666666667,33.0656717222489,1177.83383284999,3.78209690765331,0.000826012576743486,0.00267208922733187,0.981195525626333,0.00319685951989829,0.00963653101902968,0.0059710838347392,0.00799517408105135,0.00696086283644313,0.34466163356516,-11441.8390371164,15.7802333293004,1
3,5.22802973111717e-05,5.31157896564113,0,0.00114820885329104,1.10856666113351e-05,0.986459714041615,0.0166666666666667,29.2513560949064,483.026168643107,5.16047872916984,0.00263721692553327,0.0526512741870728,0.853045015728868,0.000783954129159811,0.00144769609861752,0.144723334043355,0.00960906529652053,0.00461013005631402,0.31272579401534,-3500.29947883234,0.951551316243095,1
4,0.0903343196667599,4.53288689605015,0,0.0418542199078075,0.00095421896759652,0.97180331800223,0.0166666666666667,44.5592472716593,57.9175667509877,0.144516187326898,0.0233764110773941,0.00904800295829025,0.723822375279824,0.00428849647758941,0.00458562584110154,0.267303502401485,0.00567870433766181,0.00976896115021022,0.139038489057375,-3398.79697381801,2.69764761404639,1
5,0.0914924248301488,4.11115964250826,0,-0.0362941203429425,4.46698722036669e-05,0.867517388606497,0.0166666666666667,568.004659302956,66919.3720209849,8.60025728445717,0.0582611666438889,0.928911465603589,0.637317207965867,0.00696087699528361,0.0083374470180537,0.347384468020796,0.00725423369281125,0.00334014688600497,0.0902572947332103,-3384.09113688245,1.31362103618936,1
6,0.0861039729334649,4.10134181536647,0,0.0229384125682228,0.000222372164044913,0.946902239554737,0.0166666666666667,23.5670440364742,72.946100354843,0.484972583459096,0.00439238731178081,0.00490882811343181,0.927308726649215,0.00201022626512226,0.0027831288658445,0.0678979182198182,0.00222530478672361,0.00883059677264577,0.114002689020391,-3344.63358767902,0.789408858039246,1
7,0.0633663915850529,3.24196160912731,0,0.08729686807511,2.24601951370363e-05,0.961414507336867,0.0166666666666667,19.1420056883695,423.12712897401,0.987394981347037,0.00127906145589429,0.00344360579375626,0.783149309821966,0.00440601627492771,0.00513022280980421,0.207314451093303,0.00408626106143789,0.00133886047518715,0.121933312150724,-3340.1859552408,2.34043382005119,1
8,0.00492323297439134,3.47601160158402,0,-0.0257263913124,7.1015677117456e-06,1.01246783058248,0.0166666666666667,63.1369983397898,35.6683074285669,1.00474448382259,0.00268553122531532,0.00310111916405626,0.667605372095638,0.00663447712297528,4.56346195361026e-05,0.325714516161851,0.00929156040125426,0.00590139037284135,0.141227307677069,-3522.40069989418,1.15408602934857,1
9,0.0254925891914592,1.14029434231845,0,0.0506450002777439,5.94410135141754e-06,1.03560250449098,0.0166666666666667,33.8457977310422,914.277689963685,0.272486147707634,0.000221558628826907,0.00511861121789609,0.87463216342121,0.00465939761934598,0.00392624578040623,0.116782193179038,0.0015251594731287,0.00292244699323182,0.217533814977009,-3966.32893764691,23.1571255867491,1
10,0.0477865255618805,3.5241551167148,0,-0.0737152780786834,0.00113444825299069,1.01738399848947,0.0166666666666667,32.2830523627167,83.9346468509728,0.0490352097332898,0.00161814707972396,0.0149057291406216,0.562901268,0.00905956626840956,0.0086790106542936,0.419360155077297,0.00662676238787762,0.00840976926008377,0.0123143900368903,-3912.00876028937,51.4141321089733,1
1,0.000358895354380699,3.42298502122883,0,-0.0029560673295422,0.000249425133859594,1.08833309199053,0.0166666666666667,31.898266228045,979.730783865018,1.11771066037685,0.000728850056971168,0.00303602300485968,0.890729228984773,0.00986286961771694,0.00375201777019087,0.095655883627319,0.00480042342972333,0.00166204946496105,0.365293445199071,-5662.031728475,25.7313107852152,1
2,0.0645260188407124,2.54258040532831,0,0.107162675440547,0.000119659493367771,0.922099334896953,0.0166666666666667,19.7655675450121,215.262376726237,2.47859241908175,0.0013928579769057,0.00330553854277277,0.580397108427207,0.00426182834061598,0.00883181322267708,0.406509250009501,0.00887683938777624,0.00619589754206034,0.07833110624445,-3315.87065186983,5.7797040199885,1
3,0.0622645628112613,4.08845760062939,0,-0.014800875766237,0.000480839612578586,0.972247580202452,0.0166666666666667,67.191773469807,56.8562311454983,0.633987054907399,0.0212940701854951,0.00564080036589272,0.709524536828236,0.00394643434432007,0.00537636498808657,0.281152663839358,0.00118153378123084,0.00305793921317857,0.10449442486919,-3316.1982391286,0.834814073704227,1
4,0.065729579041168,6.84693832157681,0,0.134864207010252,7.16625348524097e-06,0.82634268415975,0.0166666666666667,33.6171270628877,1573.7984619066,0.0010146746483165,0.0270789231122029,0.0188573058821495,0.82934418581919,0.00952798290382884,0.00267714219538943,0.158450689081592,0.00571873687619587,0.00814839841578857,0.140918873938196,-5914.11279844134,16.1853546548137,1
5,0.0460875495165399,5.98339349804628,0,0.0218930518967961,1.20327026070111e-05,0.990089675845145,0.0166666666666667,38.0753332135737,2792.21027977104,3.54610572027801,0.0149781403091324,0.002029579179914,0.953318561125876,0.00852157054525902,0.0111803160795424,0.0269795522493228,0.00827547637725656,0.0046703359255637,0.130894626720595,-3356.7969368213,0.837274157165267,1
6,0.0396575065357797,3.80817250538988,0,0.0338677717566027,2.72672655129846e-05,0.994194322680731,0.0166666666666667,36.0405364457091,83.5921267362836,0.227962596922375,0.00212230160030079,0.00570417822862391,0.697503494122503,0.00249261884391842,0.00495350055272626,0.295050386480852,0.00370340738168503,0.0096002394085826,0.135915802587136,-3745.50281874249,8.83307785362446,1
7,0.00276349466828483,5.08564862308254,0,-0.0129644882744923,0.000161045112927235,1.04470165067008,0.0166666666666667,35.8824272741341,93.5387042317582,0.990579200279134,0.0123947402035543,0.00241377966966799,0.761463633726428,0.00561313272770452,0.00825170108612004,0.224671532459748,0.00401089849699476,0.00916448038769913,0.461095901781509,-3868.60174615882,1.11757084949838,1
8,0.00510388946817428,6.63352479221217,0,0.000700864290940593,0.0146814497176815,1.09835353468237,0.0166666666666667,43.1054956815171,2150.15664277359,4.15906690578897,0.0157602773908275,0.00219697903484933,0.945438470763122,0.00240077264390661,0.0077972385468738,0.0443635180460971,0.00903805237560696,0.00394299714466203,0.43745693175674,-5269.73078818524,3.81219996163117,1
9,0.0527485262179604,3.00597492946438,0,0.126580539440929,3.10675842900739e-05,0.894569590240842,0.0166666666666667,27.7343122896738,1067.06596313159,2.26337000441085,0.00130537733230515,0.00337439725849424,0.831466799050581,0.0039156715851316,0.00785270364131284,0.156764825722975,0.00635441493059436,0.00615349684571615,0.0657711541453146,-3344.68601373732,1.37582038419108,1
10,0.0670189377088077,5.45514594205884,0,0.00735074576558158,3.81045169822806e-05,0.903640663226555,0.0166666666666667,77.3977010798216,764.988327318711,0.381644196401152,0.041452542724399,0.00530439474232943,0.523900121603502,0.00936337096320253,0.0028378814264208,0.463898626006874,0.00170939792271557,0.00187363359223945,0.019126197334277,-3904.40054981368,6.08815761836689,1
