date,time,cases,pop,dpopdt,beta_eff,oni,roni,beta_eff_cov,season6
1973-01-01,1973.0,,3.3494890642201584e6,387.73266509193866,0.5902175962913344,-1.4748529,-1.2322923,0.7262623050702154,0.16666666666666666
1973-01-02,1973.0027397260274,,3.3498768193278406e6,387.7775511382645,0.7533219236356506,-1.4748529,-1.2322923,0.7262623050702154,0.1585818580337406
1973-01-03,1973.0054794520547,,3.3502646193241663e6,387.82244238084365,0.4895747682910055,-1.4748529,-1.2322923,0.7262623050702154,0.1507628269889329
1973-01-04,1973.0082191780823,,3.3506524642143343e6,387.8673388202778,0.421221212008579,-1.4748529,-1.2322923,0.7262623050702154,0.14320513156636597
1973-01-05,1973.0109589041097,,3.35104035400354e6,387.9122404571684,0.4704036696462872,-1.4748529,-1.2322923,0.7262623050702154,0.13590432980203307
1973-01-06,1973.013698630137,,3.351428288696981e6,387.9571472921171,0.4441381123537612,-1.4748529,-1.2322923,0.7262623050702154,0.1288559797300352
1973-01-07,1973.0164383561644,,3.351816268299857e6,388.0020593257259,0.4522891086104303,-1.4748529,-1.2322923,0.7262623050702154,0.12205563938511141
1973-01-08,1973.0191780821917,,3.352204292817366e6,388.0469765585964,0.4169101507644289,-1.4748529,-1.2322923,0.7262623050702154,0.11549886680200074
1973-01-09,1973.021917808219,,3.3525923622547076e6,388.0918989913306,0.4396855034505021,-1.4748529,-1.2322923,0.7262623050702154,0.1091812200154422
1973-01-10,1973.0246575342467,,3.3529804766170816e6,388.1368266245303,0.4018767081359552,-1.4748529,-1.2322923,0.7262623050702154,0.10309825705967961
1973-01-11,1973.027397260274,,3.35336863590969e6,388.1817594587977,0.5849513211394957,-1.4748529,-1.2322923,0.7262623050702154,0.09724553597046139
1973-01-12,1973.0301369863014,,3.3537568401377336e6,388.226697494735,0.3142709091190754,-1.4748529,-1.2322923,0.7262623050702154,0.09161861478201204
1973-01-13,1973.0328767123287,,3.3541450893064137e6,388.271640732944,0.3645324828516358,-1.4748529,-1.2322923,0.7262623050702154,0.08621305152907063
1973-01-14,1973.035616438356,,3.354533383420934e6,388.3165891740274,0.3425811315106664,-1.4748529,-1.2322923,0.7262623050702154,0.08102440424637615
1973-01-15,1973.0383561643835,,3.3549217224864964e6,388.3615428185872,0.5610704806631731,-1.4748529,-1.2322923,0.7262623050702154,0.07604823096866768
1973-01-16,1973.041095890411,,3.3553101065083058e6,388.4065016672259,0.805908190949972,-1.4748529,-1.2322923,0.7262623050702154,0.07128008973029702
1973-01-17,1973.0438356164384,,3.3556985354915657e6,388.4514657205459,0.8636498637774216,-1.4748529,-1.2322923,0.7262623050702154,0.06671553856679432
