"sample","sigma","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.168482325838365,1.37889523242964,0,0,0.00043320603157398,0.912959473603494,0.0166666666666667,14.7585527104408,29.596954600213,0.0725758181072456,0.00163124942111322,0.0128209522927519,0.880039536021731,0.009239764375575,0.0045470560155472,0.106173643587146,0.00469635041472593,0.00147489655123707,0.114857507652439,-3416.69656585238,1.23109458162972,1
2,0.0634378735871063,4.00262755609359,0,0,0.000211357694624693,0.882929913927813,0.0166666666666667,43.5840880122659,116.98569083712,1.40727224333103,0.0189660456200122,0.00469976303424301,0.649199138953164,0.00398505732853961,0.00998378411351228,0.336832019604785,0.0088429470121877,0.00579817688979283,0.10792175612135,-3330.52147035114,0.56010875488588,1
3,0.001307904753378,5.32043396447151,0,0,0.000475671899440422,1.00487599678351,0.0166666666666667,48.6297589803652,175.130109611505,0.589282456036887,0.0129608176722327,0.00420623652790979,0.684510466994361,0.00327163493971621,0.00602647292707879,0.306191425138844,0.00125508475742178,0.00263478158459642,0.418014204210455,-4113.02533120385,0.600734247383903,1
4,0.103800062776434,5.43491608222613,0,0,0.00247745406189473,0.925602236241289,0.0166666666666667,31.5267793410069,550.979426724841,0.610243832362952,0.047563002705638,0.00502298380722642,0.816624355454901,0.0104372571466143,0.00248379105838984,0.170454596340095,0.00599165753025116,0.00742813859153479,0.0774569333408745,-3334.69863791695,1.89663213566278,1
5,0.0346865160111729,6.27241001501059,0,0,5.11361340982658e-06,1.0523832581839,0.0166666666666667,29.9719587660596,1594.70333530791,1.88472558722924,0.00366808157286361,0.00268094743715128,0.957116135970489,0.00799037191187927,0.0105192052250437,0.0243742868925877,0.00862973724960215,0.00492448456695945,0.167070096961911,-3396.91838539789,1.91168809070576,1
6,0.000410777835283683,4.78759592847579,0,0,0.000690626227266503,1.06082208430867,0.0166666666666667,24.7269614512687,10120.3379869092,1.69579499964474,0.00161871066627721,0.00405792444098422,0.686340381332049,0.00253188133909034,0.00446311800174662,0.306664619327114,0.00320662300653137,0.00898580997293267,0.449054809159718,-6332.48320513689,2.24778707836298,1
7,6.16443424541262e-06,2.10926799540311,0,0,1.05208301120792e-05,0.989206460219226,0.0166666666666667,41.0869132504713,213.540847855213,1.04286085301181,0.000889825574444526,0.0231994637410137,0.713054966375142,0.00563505956970154,0.00952362727149201,0.271786346783665,0.00416456646304195,0.00846783087454672,0.44039402818972,-6553.54834623129,2.82352968106809,1
8,0.0545708552730191,4.9309449418331,0,0,0.000483716362429027,0.955458855293824,0.0166666666666667,22.8476862414824,388.206008873546,0.685718489799719,0.00318286819041634,0.00380906077580081,0.943868925258961,0.00249041617330318,0.00658528331628702,0.0470553752514486,0.00865119103713568,0.00490055896210258,0.129613158644319,-3425.67431371511,1.82719784735987,1
9,0.0441094908487649,0.861222708943022,0,0,9.86996739906217e-05,1.0241921448558,0.0166666666666667,31.5085804476669,75.6218711690013,0.203333477043487,0.000550794674705848,0.0119864530518431,0.798137696360896,0.00459320100552409,0.00836956576859501,0.188899536864985,0.00624493889685565,0.00672931548183778,0.0470195668408385,-3376.03745364595,0.930725899823683,1
10,2.94372339145358e-05,6.3833117491013,0,0,0.00185555216148236,1.03163059641762,0.0166666666666667,30.3467270107924,773.376433513994,0.506216669952436,0.00857554943557555,0.00453001311690857,0.543515324019742,0.0105207275982337,0.00268500542829934,0.443278942953725,0.00153907482836841,0.00230087725664025,0.352864258192647,-5033.87308891103,1.36447107453533,1
