"sample","sigma","theta","phi","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.000190165053603263,-0.171386816002112,109.626696864923,-0.026992470410319,0.0185421850316883,0.00234987014976474,1.02135991943895,0.0166666666666667,33.8144764629407,121.887527561515,2.13525307552984,0.00790446488802911,0.00228793529214048,0.855234690303379,0.00390813550790946,0.00587696327445728,0.134980210914254,0.00231702155015426,0.00242561767893806,0.344257088855195,-8959.62102050337,2.44031862478228,1
2,0.0674791382277508,6.82756114751913,146.797618753282,0.450176823160706,0.227474760158599,5.64324768022892e-05,0.8861189868861,0.0166666666666667,174.213016391918,452.347837917614,0.332657722005946,0.0466910360938587,0.00534710226686223,0.626304000782999,0.00924797321837106,8.89858951898874e-05,0.36435904010344,0.00699737515829148,0.00715679398395064,0.179981898438527,-3446.37474639982,1.12083353761157,1
3,0.0741939714003429,4.36095218929464,173.715995616444,1.11167285760543,0.239934767137102,0.0061015013987985,0.945547647157819,0.0166666666666667,21.0331043894686,1609.37082273458,0.858759799583904,0.0114925132775172,0.00274189037874724,0.508459899203146,0.00144977737879232,0.0030243058121576,0.487066017605904,0.00484025782690689,0.00876335549552007,0.116708033707006,-3477.58794560503,2.28263551585848,1
4,0.00303491540749316,5.67891414000382,34.9811588552575,-0.180836799169549,0.374162038963597,0.00156198227133289,0.983401431870198,0.0166666666666667,285.326302273141,233.85448780119,1.91650139649499,0.0322424575513848,0.00181911107123181,0.761805284008229,0.00729290168379466,0.00793109458872246,0.222970719719254,0.00936787439481248,0.0047895655495769,0.371061631824275,-4859.01058314355,0.835448484768397,1
5,0.0481358575642599,4.68018970175548,16.6482842598517,2.62711969175979,-5.0841916004145,0.000297161874933363,0.979210117149747,0.0166666666666667,23.0325492414476,115.025465982701,0.668933085388324,0.00293872875214775,0.00493989299865133,0.667382873643002,0.00748191451375148,0.00615713631495065,0.318978075528296,0.00383920255444577,0.00383933956345975,0.105212868043173,-3393.54193808509,0.78922804029651,1
6,0.0852536339056314,7.95188430938696,152.072439379052,1.55989473910754,-0.796287979044858,5.52316434962002e-05,0.842159163283713,0.0166666666666667,135.953628848486,482.858683779499,1.75715631733329,0.0386051954496585,0.00386217076596983,0.899931398938977,0.00368676491474892,0.00208544163022901,0.0942963945160447,0.00743325905247266,0.00755092984301387,0.0726134788516219,-3350.13081462042,0.495105503782298,1
7,0.112035078705027,3.20781099523309,246.580828332321,0.637808990590047,0.575103013935715,0.00084526404070665,0.855172106276951,0.0166666666666667,29.4880716252551,536.2645036593,1.1578774986098,0.0376869219398488,0.00612999807516113,0.78167259398694,0.00531546069000372,0.0039900399864329,0.209021905336623,0.00143340913707767,0.00636648664309435,0.020382543135908,-3390.80747399099,11.6257853345933,1
8,0.061397708216157,3.22812022658964,67.3046988294355,1.12408639151402,-0.77065456849676,0.000203001652427981,0.940002327904931,0.0166666666666667,144.611810562371,192.707454006815,1.42860224957771,0.0410367154846567,0.0188856160800662,0.688233066540363,4.03859305587651e-05,0.00661243657722081,0.305114110951857,0.00647506595121818,0.00113871677384363,0.112834516201129,-3318.47080433623,0.940948952702753,1
9,0.00225222799546709,3.26717561216222,66.8147338967259,-0.0986878668100178,0.117964511583837,0.000230221816824597,0.978286403279133,0.0166666666666667,5534.81634180799,325.816413910434,2.35315393152088,0.0362678388437292,0.00238421059057703,0.948244610131929,0.00438542930068403,0.00265829977325292,0.0447116607941341,0.00303982380478333,0.00270410517955881,0.397795211257304,-5659.87658443327,24.5748261773722,1
10,0.0556473042626219,8.15839348747497,26.4572849682597,4.11106178005211,-2.90434048074223,5.58291502817811e-05,0.905750392392479,0.0166666666666667,46.3685591080737,86.1065616875997,1.1226864718005,0.0223491926142393,0.00511615808330866,0.774400469168356,0.00646487988445937,0.00499138396146222,0.214143266985723,0.00727752559562128,0.00747224375454556,0.144818076916456,-3341.73388324402,4.84488871667912,1
