"sample","sigma","kappa","W_max","n1","n2","K_a","K_b","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","W_0","sig_obs","loglik","loglik.se","flag"
1,0.160444923296756,3.9e-05,0.403254811583364,2.34125386009436,0.126024524762888,0.028827949927623,0.325856501226613,3.42543617621274,0,0,0.000121891809452928,0.990628789861816,0.0166666666666667,6.77774475017609,158.465792943958,0.368658982135166,0.000730659669213702,0.00531758103786297,0.909932859962435,0.00932254402986775,0.00863512639437528,0.0721094696133221,0.00622224644612071,0.00685922565646113,0.0400151065963271,0.291365390809878,-2980.06446533398,0.414498123461138,1
2,0.324017042557751,3.9e-05,43.4533545354391,0.292507977384971,0.372073331852424,0.00689078641554897,0.771118473527891,-0.359719805678793,0,0,0.00944822749586946,0.643604978453471,0.0166666666666667,6.73420661959491,2.11242492107628,0.57146897216604,0.00271350690042815,0.0011666803533601,0.612619110094948,0.00322051953767147,0.00367079367820978,0.380489576689171,0.00206727714350491,0.00221278319350406,0.0148472633076842,0.17340846614884,-2918.17480580391,0.598174219889231,1
3,0.220528353158867,3.9e-05,10.2651766864559,1.95184973461864,19.9275034012092,0.0546385015709584,0.990348162952819,5.51561496247457,0,0,0.000160119884623097,1.27861797481749,0.0166666666666667,6.5230811140424,187.782747792572,1.48790123807408,0.00109250328184226,0.0109613237394985,0.77465766677108,0.00651748254152033,0.00078876308862044,0.218036087598779,0.00419944415049035,0.00841402915574523,0.0286294337963044,0.312117831767221,-2973.33944337675,0.243644191925326,1
4,0.259994036738814,3.9e-05,26.996541986984,60.6259656439424,0.776264200396131,0.0378604928968684,0.999639187760413,2.62509038687881,0,0,0.00202717767362278,0.921350048612114,0.0166666666666667,6.50595738053141,19.1183670090323,29.1754831879098,0.00407211930762879,0.0113900732694402,0.699860989315544,0.000320780297950528,0.00383192741976332,0.295986302966742,0.00936445085541548,0.00440332291301229,0.00194443698862935,0.18636856191963,-2902.36335436859,2.89103603815959,1
5,0.00127713984348547,3.9e-05,79.3965673982489,69.6756643647397,4.98630927211975,0.49092426509797,0.926011823320602,5.20832801512014,0,0,0.00417794401198556,1.02405164462252,0.0166666666666667,12.4828132921831,166.873822473004,0.503615572201267,0.00268638195487097,0.0090970621755944,0.92982779631889,0.00580827532783537,0.00678563081863288,0.0575782975346416,0.00320905224006299,0.00519619296840174,0.0472975999434177,0.605642754488754,-3176.11181484651,0.22056206492123,1
6,0.254404709724509,3.9e-05,5.03012116668236,0.00385043647778103,8.99974859794652,0.0363829224432619,0.998106529588881,3.19583852774322,0,0,0.000283218511380856,0.852526133363188,0.0166666666666667,6.10206958489209,122.42514057275,0.413809165211194,0.00308192909842204,0.0401082340727534,0.649506520198683,0.000178428179564951,0.00121701625246688,0.349098035369285,0.00699868526722584,0.0099198071243452,0.0251530058214244,0.191656873081821,-2917.21420130776,0.715481720868599,1
7,0.164449578198688,3.9e-05,5.34008250043452,34.668637975648,2.67173583977153,0.0106200300874032,0.874792506924537,5.28076211673943,0,0,0.000540278708828034,1.10554716355133,0.0166666666666667,7.42640852746873,192.542940385733,6.33781548381972,0.00188078653544063,0.00841920434322182,0.785333691471034,0.00884246845401714,0.00453963015633636,0.201284209918612,0.0094815628328566,0.00328687854058025,0.0315504803339736,0.309582548875218,-2976.31251586481,2.12881747257525,1
8,0.000674830087445902,3.9e-05,176.737414196703,0.251137136637328,0.421300859379004,0.581588415116309,0.719700119570404,4.24112709299143,0,0,0.000543091636580721,0.940036247894977,0.0166666666666667,25.2496757646772,81.481798389596,0.927013811112081,0.00269307187735309,0.0612640252543068,0.660519451096175,0.00184264514336172,0.00600152713921696,0.331636376621246,0.00535466432344774,0.00757096297182019,0.010050605458366,0.512969035461774,-3188.95037276272,0.533892980365476,1
9,0.219772401759227,3.9e-05,113.865515483608,4.64972274879413,5.76241975110048,0.147675886094881,0.999067604159789,2.4740333601949,0,0,0.00212607494453107,0.917889639040012,0.0166666666666667,9.89810883514629,12.8678264645185,0.0676566770217019,0.0268717641853204,0.0290004931429198,0.716637820003439,0.00284890131553212,0.0032017579303456,0.277311520750683,0.00674159063348707,0.00665630826141728,0.0425352223124501,0.18469024085749,-2991.77556321761,0.894365301673088,1
10,0.00186327144945902,3.9e-05,1.43880366712324,20.9103114232112,15.2183008122064,0.130503444461019,0.978343341140886,6.06009788038245,0,0,0.00820460916417741,0.947839436701003,0.0166666666666667,7.27981240497791,720.084123938928,0.416031524888944,0.00264009116958604,0.00244837357624315,0.85402005012865,0.00932673749520246,0.0112221083518541,0.125431104024294,0.00187005888516079,0.0020477112264007,0.0148409010289185,0.678992761690416,-3220.94093962897,0.0144737926139597,1
